stop_name,mainTrafficType,lat,lon
Adamov,bus,49.8581047,15.4081345
Albertov,tram,50.0672455,14.421648
Ametystová,bus,49.9882,14.3622169
Amforová,bus,50.04185,14.3272839
Anděl,metroB,50.07193,14.4036312
"Andělská Hora,dolní obec",bus,50.2080421,12.9553576
"Andělská Hora,horní obec",bus,50.2042961,12.96137
"Andělská Hora,chaty",bus,50.2071533,12.9447794
"Andělská Hora,rozc.",bus,50.2004471,12.9601526
Antala Staška,bus,50.0416946,14.4443111
Apolinářská,bus,50.07151,14.42648
Arbesovo náměstí,tram,50.07625,14.4042015
Arena Libeň jih,tram,50.1031036,14.4933529
Argentinská,bus,50.1036758,14.4434347
Archeologická,bus,50.0435677,14.3368835
Avia Letňany,bus,50.14186,14.5154915
Baba I,bus,49.9979324,14.4150791
Baba II,bus,49.99959,14.41526
Babice,bus,50.0078621,14.7148714
"Babice,Babičky",bus,50.009388,14.7261581
"Babice,U hřiště",bus,50.00971,14.7192583
"Bácovice,rozc.1.0",bus,49.4824753,15.1807919
"Bačalky,horní",bus,50.38514,15.1523685
"Bačalky,Lično",bus,50.383667,15.1715546
"Bačalky,střed",bus,50.3832054,15.1617842
Bahno,train,49.8656,15.2203875
Bachova,bus,50.0311852,14.5093145
"Bakov n.Jiz.,Buda",bus,50.48371,14.9902973
"Bakov n.Jiz.,Horka",bus,50.474926,14.9659243
"Bakov n.Jiz.,Chudoplesy",bus,50.4574,14.9307127
"Bakov n.Jiz.,Komenského sady",bus,50.4822426,14.9429893
"Bakov n.Jiz.,Malá Bělá,mlýn",bus,50.4862061,14.9262867
"Bakov n.Jiz.,Malá Bělá,U splávku",bus,50.4905968,14.9177961
"Bakov n.Jiz.,nám.",bus,50.4810944,14.93611
"Bakov n.Jiz.,Podhradí",bus,50.46944,14.9197426
"Bakov n.Jiz.,Podhradí,žel.st.",bus,50.4728355,14.9249163
"Bakov n.Jiz.,Pražská",bus,50.4728432,14.9440947
"Bakov n.Jiz.,Trenčín",bus,50.4712143,14.9419708
"Bakov n.Jiz.,Velký Rečkov",bus,50.493084,14.9087591
